订单号,用户ID,商品名称,价格,购买时间,收货地址,手机号,订单状态
ODR000038,U088,手机壳,2959,2024.9.5 16时,上海市雁塔区,13645280655,已付款
ODR000039,U269,HomePod mini,5207,2024.8.23 14时,成都市江汉区,15091141748,已取消
ODR000040,U041,Apple Watch Series 9,¥9011,2024-08-10 20:05:34,西安市雁塔区,13548000490,已发货
ODR000041,U222,AirPods Pro 2,¥9657,2024.3.22 11时,成都市天河区,手机号缺失,已完成
ODR000042,U317,iPhone 15 Pro,¥6668,2024-03-05 19:23:50,西安市雁塔区,15020431895,已发货
ODR000043,U435,iPad Pro 12.9,324元,2024-11-14 12:21:31,西安市雁塔区,15285138608,待付款
ODR000044,U204,手机壳,8325,2024.3.10 9时,杭州市雁塔区,15111524840,已完成
ODR000045,U010,iPhone 15 Pro,¥9013,2024-03-23 09:43:37,杭州市锦江区,13856031724,已发货
ODR000046,U464,iMac 24寸,¥5761,2024.11.3 13时,西安市西湖区,13834362921,待付款
ODR000047,U284,Magic Mouse,4386,2024.5.23 12时,重庆市江汉区,13609849169,已取消
ODR000048,U115,USB-C充电线,7327,2024.6.8 13时,重庆市锦江区,13812553217,待付款
ODR000049,U360,Magic Mouse,8304,2024.8.3 9时,西安市雁塔区,15100544050,已取消
ODR000050,U117,HomePod mini,6139,2024-05-07 21:36:22,重庆市江汉区,abc12345678,待付款
ODR000051,U238,Mac mini M2,¥6637,2024.2.9 21时,广州市渝中区,15189599463,已付款
ODR000052,U452,手机壳,7704,2024.3.10 17时,深圳市天河区,13639914520,已取消
ODR000053,U369,Magic Keyboard,901,2024-06-22 19:47:17,武汉市锦江区,13729454502,已发货
ODR000054,U369,Magic Keyboard,3944元,2024-12-22 18:36:58,成都市西湖区,15020962924,待付款
ODR000055,U180,Apple Watch Series 9,846,2024.6.23 16时,重庆市朝阳区,15047191622,已发货
ODR000056,U199,iPad pro 12.9,9033,2024-01-05 13:22:54,武汉市江汉区,15149710009,已取消
ODR000057,U061,iPad Pro 12.9,2457元,2024/5/10,深圳市江汉区,15185167895,已付款
ODR000058,U076,AirPods Pro 2,1603,2024.6.14 18时,重庆市渝中区,13891999981,已发货
ODR000059,U495,Apple Watch Series 9,3717元,2024/3/12,武汉市浦东新区,13853755379,待付款
ODR000060,U229,USB-C充电线,5663,2024.8.22 15时,,13650792828,已取消
ODR000061,U083,屏幕保护膜,9884,2024-10-17 10:16:23,武汉市锦江区,13681311594,已取消
ODR000062,U277,AirPods Pro 2,¥6666,2024/5/18,成都市江汉区,13648513712,待付款
ODR000063,U278,Magic Keyboard,4643元,2024-07-23 11:39:17,深圳市浦东新区,15280196589,待付款
ODR000064,U026,屏幕保护膜,4916,2024-03-07 09:37:58,重庆市浦东新区,13739373661,已付款
ODR000065,U186,MacBook Air M3,1000,2024-08-04 21:04:58,武汉市渝中区,13743623155,已付款
ODR000066,U328,iPhone 15 Pro,9029,2024.12.13 18时,杭州市西湖区,13778609589,已付款
ODR000067,U437,iPad pro 12.9,¥6849,2024-08-05 15:55:08,上海市渝中区,13567750416,已付款
ODR000068,U133,屏幕保护膜,¥4130,2024.3.8 21时,,15020858826,已取消
ODR000069,U111,iMac 24寸,3712,2024/1/17,广州市江汉区,13841542541,已完成
ODR000070,U497,Mac mini M2,2530,2024-06-09 13:22:23,上海市锦江区,13522145135,已完成
ODR000071,U482,USB-C充电线,¥4247,2024-03-22 10:34:52,北京市玄武区,13976361021,待付款
ODR000072,U027,MacBook Air M3,¥3206,2024-09-14 19:18:19,广州市西湖区,13977589282,待付款
ODR000073,U002,屏幕保护膜,¥8274,2024/3/9,北京市西湖区,13908312245,待付款
ODR000074,U290,屏幕保护膜,¥9870,2024-11-20 12:07:11,武汉市锦江区,15203655751,已取消
ODR000075,U481,手机壳,4281,2024.12.14 16时,南京市朝阳区,13603202034,已发货
ODR000076,U477,AirPods Pro 2,3445元,2024-08-04 11:14:19,上海市浦东新区,15139190403,待付款
ODR000077,U496,屏幕保护膜,¥3398,2024.3.3 20时,北京市朝阳区,13607035008,已付款
ODR000078,U354,iPad Pro 12.9,3865,2024-01-28 10:13:27,上海市雁塔区,13698229970,已发货
ODR000079,U426,iPhone 15 Pro,3182,2024-01-04 11:53:21,北京市朝阳区,手机号缺失,已取消
ODR000080,U205,屏幕保护膜,1066元,2024-06-04 17:12:46,广州市江汉区,15252208661,已付款
ODR000081,U277,USB-C充电线,¥7459,2024/9/19,上海市锦江区,13770383683,已发货
ODR000082,U386,USB-C充电线,6910元,2024.10.23 12时,武汉市西湖区,13914920551,已完成
ODR000083,U350,iMac 24寸,481,2024-12-24 15:17:28,北京市浦东新区,13881017211,已取消
ODR000084,U260,手机壳,9952,2024-09-17 16:12:43,北京市雁塔区,15211513334,已付款
ODR000085,U453,AirPods Pro 2,9924,2024-08-07 19:05:18,成都市渝中区,13757033520,已取消
ODR000086,U172,HomePod mini,¥3742,2024.7.26 15时,北京市玄武区,13769918265,已取消
ODR000087,U020,iPad Pro 12.9,7631,2024-02-07 21:19:30,上海市江汉区,13665166861,已付款
ODR000088,U104,Magic Mouse,¥5112,2024-04-21 14:19:28,深圳市南山区,15185523598,已完成
ODR000089,U160,USB-C充电线,8011,2024.9.1 16时,上海市西湖区,13699646044,已付款
ODR000090,U325,Mac mini M2,¥7998,2024-10-11 18:03:05,重庆市锦江区,15004914587,待付款
ODR000091,U209,Magic Keyboard,8548,2024.1.2 18时,西安市锦江区,13902683891,已发货
ODR000092,U497,iPhone 15 Pro,¥4531,2024/3/22,武汉市渝中区,13501614493,已付款
ODR000093,U030,iMac 24寸,466,2024.2.3 19时,上海市天河区,13596512653,已取消
ODR000094,U418,Magic Mouse,¥9607,2024.11.16 15时,武汉市锦江区,15170929454,已发货
ODR000095,U328,iPad pro 12.9,7926,2024.12.26 18时,重庆市玄武区,15155511152,已付款
ODR000096,U015,HomePod mini,8354,2024-09-05 11:47:54,西安市渝中区,13836629281,已完成
ODR000097,U186,USB-C充电线,¥1478,2024.4.9 10时,西安市浦东新区,123456,待付款
ODR000098,U269,AirPods Pro 2,¥6418,2024.1.17 12时,广州市天河区,13585548743,已取消
ODR000099,U363,Magic Mouse,3136,2024.7.14 16时,成都市天河区,13895753189,已付款
ODR000100,U339,手机壳,¥5744,2024.2.26 10时,武汉市江汉区,13533387942,已发货
ODR000101,U363,iPhone 15 Pro,¥6734,2024.7.23 18时,深圳市浦东新区,13746884861,已取消
ODR000102,U217,Apple Watch Series 9,2812,2024-04-11 17:45:38,北京市玄武区,15197278575,已付款
ODR000103,U151,Magic Mouse,¥115,2024-04-19 18:00:18,南京市锦江区,13721825717,已发货
ODR000104,U133,MacBook air M3,9569,2024.4.10 14时,深圳市渝中区,手机号缺失,待付款
ODR000105,U324,AirPods Pro 2,7791元,2024/11/26,南京市雁塔区,15145929662,已完成
ODR000106,U482,Mac mini M2,4223,2024-11-22 12:17:49,南京市朝阳区,13768458225,已发货
ODR000107,U163,iPad Pro 12.9,5262,2024.4.8 18时,杭州市玄武区,15110307764,已付款
ODR000108,U373,Magic Mouse,3180元,2024-06-09 11:34:41,西安市锦江区,13823409649,已取消
ODR000109,U105,AirPods Pro 2,4502,2024/1/22,,13800138,已付款
ODR000110,U241,屏幕保护膜,1586,2024-04-22 15:57:11,,15243276349,已发货
ODR000111,U337,手机壳,¥8129,2024-05-03 21:38:31,西安市渝中区,15031019117,待付款
ODR000112,U008,Magic Keyboard,¥9096,2024-01-14 16:20:32,武汉市锦江区,手机号缺失,已发货
ODR000113,U359,手机壳,¥3251,2024-09-02 09:37:37,西安市渝中区,13714663895,已取消
ODR000114,U495,屏幕保护膜,6336,2024.5.13 19时,上海市江汉区,13644933810,已发货
ODR000115,U262,Mac mini M2,5958,2024-08-12 18:14:05,北京市渝中区,15127369700,已付款
ODR000116,U003,USB-C充电线,¥1237,2024.5.27 15时,上海市天河区,15075471124,已发货
ODR000117,U358,手机壳,7269,2024-12-17 12:09:28,成都市天河区,13800138,已取消
ODR000118,U076,MacBook Air M3,9643,2024/11/2,重庆市浦东新区,15154233579,已发货
ODR000119,U499,屏幕保护膜,¥3789,2024-04-05 18:09:06,北京市雁塔区,13674877885,待付款
ODR000120,U028,Magic Keyboard,¥5399,2024.4.13 10时,西安市南山区,13886570018,已付款
ODR000121,U155,iPad Pro 12.9,¥6810,2024-06-05 11:44:58,杭州市朝阳区,15282518417,已发货
ODR000122,U073,屏幕保护膜,4661,2024/7/17,北京市玄武区,15254820671,已发货
ODR000123,U269,Magic Keyboard,2439,2024.8.17 19时,广州市玄武区,13692328433,待付款
ODR000124,U486,iPhone 15 Pro,9927,2024-01-19 10:02:19,西安市朝阳区,13543880164,待付款
ODR000125,U472,Mac mini M2,¥703,2024/7/2,北京市玄武区,手机号缺失,待付款
ODR000126,U453,iMac 24寸,1262,2024-07-26 19:22:26,北京市西湖区,13908505865,待付款
ODR000127,U417,iMac 24寸,8713元,2024.9.3 12时,深圳市玄武区,15043381227,已发货
ODR000128,U314,iMac 24寸,1329,2024/10/26,成都市西湖区,13803896979,待付款
ODR000129,U270,Magic Keyboard,¥8049,2024-01-04 18:45:03,杭州市西湖区,13766416732,已发货
ODR000130,U393,HomePod mini,2347,2024/4/7,武汉市朝阳区,15257587297,待付款
ODR000131,U380,USB-C充电线,7780,2024.7.7 17时,重庆市朝阳区,15031210916,已发货
ODR000132,U242,HomePod mini,4476,2024-07-04 11:51:28,北京市天河区,13925558413,待付款
ODR000133,U153,Magic Mouse,4556,2024-10-27 19:48:52,北京市西湖区,15139620094,已付款
ODR000134,U218,HomePod mini,6130,2024.10.2 14时,深圳市浦东新区,13824839007,待付款
ODR000135,U090,iPhone 15 Pro,1860,2024-11-18 10:26:19,重庆市朝阳区,13875701094,已取消
ODR000136,U392,HomePod mini,8470元,2024.10.18 13时,杭州市渝中区,13533012535,已完成
ODR000137,U026,iPad Pro 12.9,6209,2024.1.28 9时,上海市锦江区,13853255361,已付款
ODR000138,U366,iMac 24寸,3049,2024/5/28,杭州市渝中区,13571696142,已付款
ODR000139,U392,USB-C充电线,3587,2024-05-13 14:30:31,,13623418871,已发货
ODR000140,U300,iPad Pro 12.9,8971元,2024.12.28 21时,北京市南山区,15094612292,待付款
ODR000141,U465,Mac mini M2,6116,2024-05-23 18:58:38,武汉市渝中区,13552665977,已付款
ODR000142,U333,手机壳,¥1293,2024-12-27 18:18:09,广州市雁塔区,13917733734,已发货
ODR000143,U075,HomePod mini,2183,2024-01-15 11:00:44,北京市江汉区,abc12345678,已付款
ODR000144,U006,AirPods Pro 2,9492,2024-11-25 13:10:39,西安市浦东新区,13861704516,已取消
ODR000145,U262,USB-C充电线,4600,2024/12/6,杭州市朝阳区,13802321340,已付款
ODR000146,U472,Apple Watch Series 9,8991,2024-12-22 11:00:58,深圳市玄武区,13800138,已付款
ODR000147,U241,Apple Watch Series 9,3016,2024.7.17 19时,广州市江汉区,13625625640,待付款
ODR000148,U051,USB-C充电线,1711,2024/6/25,广州市浦东新区,15136746276,已发货
ODR000149,U413,Apple Watch Series 9,¥7182,2024.8.27 19时,重庆市浦东新区,15221976320,待付款
ODR000150,U332,USB-C充电线,5076,2024.12.21 17时,杭州市玄武区,13930381037,已完成
ODR000151,U073,Magic Mouse,¥869,2024.10.18 20时,杭州市江汉区,13533945350,已取消
ODR000152,U474,屏幕保护膜,7471,2024/2/26,西安市玄武区,13802919828,待付款
ODR000153,U379,AirPods Pro 2,¥5330,2024-08-27 18:05:56,武汉市南山区,13531797439,待付款
ODR000154,U291,HomePod mini,5967元,2024-03-06 16:16:45,杭州市西湖区,15265176633,已取消
ODR000155,U262,Magic Keyboard,6691,2024-12-09 11:45:09,杭州市浦东新区,13800138,已取消
ODR000156,U493,HomePod mini,9567,2024.5.13 14时,重庆市浦东新区,13732841166,待付款
ODR000157,U200,Magic Keyboard,¥7773,2024.4.3 15时,,15160096573,已发货
ODR000158,U148,Mac mini M2,7637,2024/4/14,上海市江汉区,15159021002,已取消
ODR000159,U005,屏幕保护膜,3101,2024/7/7,武汉市西湖区,15140437575,待付款
ODR000160,U282,USB-C充电线,¥1718,2024/1/18,重庆市锦江区,13836455502,已付款
ODR000161,U403,手机壳,¥4213,2024/4/19,成都市江汉区,13593937219,待付款
ODR000162,U008,手机壳,4667,2024-05-18 20:03:10,成都市天河区,13626891498,已取消
ODR000163,U115,AirPods Pro 2,5925,2024.2.19 16时,深圳市朝阳区,13985072595,已取消
ODR000164,U412,手机壳,5954,2024.5.7 19时,北京市朝阳区,13549005341,已完成
ODR000165,U303,iPhone 15 Pro,2462元,2024-09-11 19:11:02,成都市浦东新区,15003979969,待付款
ODR000166,U499,Magic Keyboard,7148,2024/1/11,杭州市锦江区,15271798230,已完成
ODR000167,U336,Apple Watch Series 9,¥3430,2024-04-28 11:45:13,重庆市玄武区,13962560805,已发货
ODR000168,U235,Magic Keyboard,7805,2024-12-23 19:56:06,深圳市西湖区,15075176073,待付款
ODR000169,U346,iPhone 15 Pro,¥2667,2024-08-02 09:03:47,西安市江汉区,13620989225,已发货
ODR000170,U085,Apple Watch Series 9,3246元,2024.6.12 16时,杭州市南山区,13851942793,待付款
ODR000171,U134,Mac mini M2,7188,2024/2/22,,13652092491,已付款
ODR000172,U135,手机壳,1367,2024-07-09 13:13:56,深圳市朝阳区,15004318926,待付款
ODR000173,U109,手机壳,253,2024.3.28 16时,重庆市雁塔区,15277559776,已付款
ODR000174,U184,Apple Watch Series 9,¥3253,2024/7/10,杭州市西湖区,手机号缺失,已完成
ODR000175,U018,iPhone 15 Pro,¥5724,2024.5.4 21时,,abc12345678,已发货
ODR000176,U183,Apple Watch Series 9,¥7608,2024-02-22 20:34:01,广州市浦东新区,13612866951,已付款
ODR000177,U378,MacBook Air M3,2723,2024.1.4 15时,上海市西湖区,13717357984,已付款
ODR000178,U070,iPhone 15 pro,5233元,2024-09-14 14:42:26,杭州市西湖区,15004879262,已取消
ODR000179,U016,iPad Pro 12.9,¥5471,2024-06-15 09:52:14,上海市锦江区,15109352515,已完成
ODR000180,U079,MacBook Air M3,¥4530,2024.7.19 15时,上海市渝中区,15212684693,已付款
ODR000181,U242,屏幕保护膜,¥4602,2024-08-05 14:47:46,杭州市朝阳区,13506627922,待付款
ODR000182,U123,屏幕保护膜,6100元,2024.12.19 16时,西安市浦东新区,15197068271,已取消
ODR000183,U001,AirPods Pro 2,8225,2024-01-07 19:56:18,广州市西湖区,13684408654,待付款
ODR000184,U445,HomePod mini,8545,2024-06-09 13:04:52,成都市天河区,13798180954,已取消
ODR000185,U282,USB-C充电线,2069元,2024.6.7 21时,武汉市锦江区,13757948839,已付款
ODR000186,U219,USB-C充电线,1223,2024-01-27 19:10:33,深圳市雁塔区,13765907059,已取消
ODR000187,U233,iMac 24寸,4620,2024.9.3 18时,广州市江汉区,13949927512,已完成
ODR000188,U110,Magic Keyboard,4462,2024-02-10 17:15:05,南京市江汉区,13749386218,已完成
ODR000189,U348,Mac mini M2,3633,2024.10.17 19时,南京市锦江区,13629000345,已发货
ODR000190,U499,屏幕保护膜,¥7219,2024.5.4 11时,杭州市渝中区,15284930333,已发货
ODR000191,U174,屏幕保护膜,¥5803,2024-03-06 16:53:25,成都市天河区,15046875136,已付款
ODR000192,U294,Magic Mouse,1371,2024-03-06 16:50:27,上海市南山区,13797247563,已取消
ODR000193,U084,手机壳,¥8271,2024-09-13 18:58:33,北京市锦江区,15012001365,待付款
ODR000194,U367,Magic Mouse,6280元,2024-11-06 13:58:23,西安市雁塔区,15153086513,已取消
ODR000195,U171,Apple Watch Series 9,4464,2024-02-16 12:37:49,武汉市南山区,手机号缺失,待付款
ODR000196,U390,iPhone 15 Pro,9624元,2024.6.20 21时,南京市朝阳区,13524032881,待付款
ODR000197,U225,Mac mini M2,9810,2024-04-07 09:13:12,深圳市浦东新区,15119679955,已付款
ODR000198,U364,MacBook Air M3,¥9063,2024/9/25,西安市雁塔区,15176173458,待付款
ODR000199,U332,Magic Mouse,1398,2024.6.9 17时,杭州市浦东新区,13811891071,已完成
ODR000200,U093,屏幕保护膜,2184,2024/11/16,北京市锦江区,13606872280,已取消
ODR000201,U363,手机壳,229,2024.5.10 9时,重庆市浦东新区,13715919102,已付款
ODR000202,U313,Apple Watch Series 9,6083,2024-10-18 17:01:08,重庆市江汉区,手机号缺失,已取消
ODR000203,U377,iPad Pro 12.9,¥7695,2024.10.10 21时,成都市江汉区,13763392184,待付款
ODR000204,U090,AirPods Pro 2,6487,2024.4.15 10时,深圳市锦江区,13559909060,已取消
ODR000205,U130,Magic Keyboard,6164,2024.1.19 14时,重庆市浦东新区,15131283859,已完成
ODR000206,U371,iPad Pro 12.9,7982元,2024.2.10 16时,北京市江汉区,13800138,待付款
ODR000207,U309,Magic Mouse,¥590,2024.7.13 20时,南京市锦江区,13691133726,已取消
ODR000208,U386,iPad Pro 12.9,8597,2024.2.3 16时,杭州市朝阳区,13716432401,待付款
ODR000209,U087,Mac mini M2,¥4879,2024-11-10 13:19:00,上海市南山区,13693138815,已发货
ODR000210,U440,iPad Pro 12.9,¥4449,2024.3.18 20时,北京市江汉区,15076842557,已完成
ODR000211,U261,手机壳,5883,2024/8/14,南京市天河区,13814800981,已付款
ODR000212,U170,iPad Pro 12.9,5492,2024.1.9 9时,北京市雁塔区,13540130812,已发货
ODR000213,U240,iPad Pro 12.9,¥6838,2024-08-05 11:44:47,北京市雁塔区,13988673339,已完成
ODR000214,U484,Magic Keyboard,¥6817,2024-04-16 13:31:42,深圳市浦东新区,15156694908,已发货
ODR000215,U470,MacBook Air M3,¥5898,2024-04-01 10:23:45,深圳市渝中区,123456,已取消
ODR000216,U275,手机壳,2544,2024-12-13 21:04:30,北京市玄武区,15227986089,待付款
ODR000217,U248,手机壳,4690元,2024-02-11 17:53:16,成都市玄武区,13674756072,已取消
ODR000218,U316,iPhone 15 Pro,8596,2024-01-08 13:03:08,北京市江汉区,13636541415,已完成
ODR000219,U147,Magic Mouse,6396,2024/7/24,成都市锦江区,13723152797,已发货
ODR000220,U127,HomePod mini,2576,2024-12-21 11:16:11,广州市雁塔区,abc12345678,已取消
ODR000221,U001,USB-C充电线,5293,2024.2.22 21时,南京市西湖区,13800138,已发货
ODR000222,U065,AirPods Pro 2,¥4409,2024/9/27,,13784894388,待付款
ODR000223,U358,Mac mini M2,¥1494,2024-08-10 18:11:21,西安市浦东新区,13771187495,已发货
ODR000224,U432,Magic Mouse,¥9385,2024-02-18 20:16:46,广州市雁塔区,15253077415,已发货
ODR000225,U190,iPad Pro 12.9,6492,2024/5/2,南京市锦江区,15068263351,已付款
ODR000226,U492,Magic Keyboard,3190,2024.10.3 13时,成都市西湖区,15162713049,已付款
ODR000227,U293,MacBook Air M3,1222,2024.11.11 17时,北京市锦江区,15078442964,已付款
ODR000228,U308,HomePod mini,¥8278,2024/5/27,西安市雁塔区,13800138,已付款
ODR000229,U094,Apple Watch Series 9,5510,2024-12-05 10:06:54,成都市浦东新区,13785367080,待付款
ODR000230,U235,AirPods Pro 2,5474,2024-05-16 17:15:38,武汉市江汉区,13884826927,已取消
ODR000231,U011,HomePod mini,2946元,2024/6/2,南京市浦东新区,13800138,待付款
ODR000232,U357,Magic Keyboard,1024,2024.3.17 21时,南京市江汉区,15235226745,已付款
ODR000233,U394,Magic Keyboard,7724,2024.4.11 16时,北京市西湖区,15239615612,已发货
ODR000234,U003,Mac mini M2,8259,2024-07-21 17:44:30,南京市南山区,13680678179,已发货
ODR000235,U155,Mac mini M2,¥4949,2024-12-06 12:46:31,上海市南山区,15203031748,已付款
ODR000236,U050,Mac mini M2,¥7003,2024/8/5,北京市南山区,123456,待付款
ODR000237,U101,Magic Keyboard,3852元,2024.3.26 15时,重庆市渝中区,abc12345678,已发货
ODR000238,U251,Magic Mouse,3301,2024/7/28,广州市玄武区,15293272988,已付款
ODR000239,U107,iPad Pro 12.9,7739,2024.7.18 21时,广州市浦东新区,13603987713,已发货
ODR000240,U089,MacBook Air M3,5308,2024/2/28,西安市天河区,15290709379,已发货
ODR000241,U415,Mac mini M2,1824,2024.5.1 13时,深圳市江汉区,13759487336,已发货
ODR000242,U360,USB-C充电线,¥2141,2024-04-02 21:20:09,成都市南山区,15010976856,已付款
ODR000243,U188,HomePod mini,¥2990,2024.5.3 14时,广州市雁塔区,13719931642,已取消
ODR000244,U290,Magic Mouse,¥2712,2024-06-16 15:42:38,重庆市锦江区,13637100977,待付款
ODR000245,U069,Mac mini M2,4731,2024/6/17,西安市玄武区,13510454281,已付款
ODR000246,U305,Magic Mouse,¥712,2024.8.9 9时,成都市朝阳区,13577355546,已取消
ODR000247,U248,MacBook Air M3,¥4831,2024-03-04 21:56:50,重庆市南山区,13546597397,待付款
ODR000248,U085,AirPods Pro 2,¥3464,2024/10/23,北京市西湖区,13998066103,已付款
ODR000249,U258,iPad Pro 12.9,319,2024-11-01 09:38:55,重庆市锦江区,15155985521,待付款
ODR000250,U457,iMac 24寸,9838元,2024/4/12,西安市西湖区,13714001233,已付款
ODR000251,U418,iPhone 15 Pro,2771,2024.8.13 11时,上海市江汉区,15153479467,已发货
ODR000252,U040,Apple Watch Series 9,3784,2024.2.17 16时,重庆市江汉区,13838945050,已付款
ODR000253,U189,Mac mini M2,2925,2024-08-12 18:54:08,广州市南山区,15000043459,已取消
ODR000254,U174,Magic Keyboard,6812元,2024-06-12 16:07:06,南京市雁塔区,13718719255,已取消
ODR000255,U391,屏幕保护膜,¥8315,2024-02-26 14:48:01,上海市朝阳区,13519252591,已完成
ODR000256,U490,iPhone 15 pro,2187,2024/10/18,广州市玄武区,13695873295,已取消
ODR000257,U490,iMac 24寸,212,2024/2/5,,15299300046,待付款
ODR000258,U379,HomePod mini,7631,2024-12-24 17:17:19,北京市西湖区,15241794258,已付款
ODR000259,U458,AirPods Pro 2,6667,2024/3/9,广州市渝中区,13964743464,已付款
ODR000260,U487,Magic Keyboard,¥7382,2024-11-14 17:48:39,广州市朝阳区,13575524851,已完成
ODR000261,U321,Mac mini M2,8204,2024.3.2 11时,西安市浦东新区,13820076616,已取消
ODR000262,U218,HomePod mini,¥9413,2024-04-25 11:08:44,北京市锦江区,13601891846,已完成
ODR000263,U305,屏幕保护膜,3961,2024.1.28 18时,西安市西湖区,13931872336,已完成
ODR000264,U481,手机壳,5367,2024-09-02 18:15:39,南京市朝阳区,15231308895,已完成
ODR000265,U018,HomePod mini,4550元,2024.7.18 17时,武汉市玄武区,15183554921,已完成
ODR000266,U328,HomePod mini,9774,2024.11.24 16时,西安市南山区,15162902351,已取消
ODR000267,U347,手机壳,¥769,2024-10-04 21:13:58,南京市天河区,13739959525,已付款
ODR000268,U483,iPad Pro 12.9,2629元,2024-02-10 13:29:44,成都市锦江区,15020333543,待付款
ODR000269,U170,iPad Pro 12.9,¥7202,2024.9.6 20时,上海市浦东新区,13751647337,待付款
ODR000270,U328,HomePod mini,1424,2024.5.27 14时,北京市江汉区,手机号缺失,已发货
ODR000271,U399,手机壳,¥7487,2024.6.14 14时,西安市朝阳区,15253887250,已付款
ODR000272,U359,MacBook Air M3,7317,2024.12.3 17时,西安市天河区,15017285214,待付款
ODR000273,U027,Magic Keyboard,¥3343,2024-06-23 21:25:14,西安市西湖区,13879486544,待付款
ODR000274,U307,Mac mini M2,1957元,2024.2.7 21时,北京市天河区,15141076037,已取消
ODR000275,U230,Magic Keyboard,4611元,2024/12/24,上海市锦江区,13797390431,待付款
ODR000276,U111,Magic Mouse,¥7332,2024-08-13 21:49:35,杭州市江汉区,13538241084,已发货
ODR000277,U166,AirPods Pro 2,4436,2024.6.4 11时,上海市江汉区,15039749737,已取消
ODR000278,U251,Magic Keyboard,¥480,2024-03-13 15:12:13,重庆市南山区,13999957025,已发货
ODR000279,U460,iPad Pro 12.9,3601,2024-12-26 21:44:34,上海市朝阳区,13644245952,已付款
ODR000280,U276,Magic Mouse,¥9881,2024/3/25,武汉市玄武区,15030523305,待付款
ODR000281,U179,屏幕保护膜,¥243,2024/1/1,上海市朝阳区,13628469861,已完成
